Rank,Title,Duration,Genre,Star,Description,Votes
32,Môsô dairinin,(2004),"Animation, Drama, Horror",8,"Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, the victims' lives have improved in some way.","12,950"
33,Mushishi,(2005–2014),"Animation, Drama, Fantasy",8.5,"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.","13,992"
34,Bakemonogatari,(2009–2010),"Animation, Action, Comedy",8,"Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, revealing secrets in people he once knew.","6,089"
35,Herushingu,(2001–2002),"Animation, Action, Fantasy",7.8,"A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires.","17,175"
36,Kôkaku kidôtai: Stand Alone Complex,(2002–2005),"Animation, Action, Crime",8.5,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"20,252"
37,Clannad,(2007–2008),"Animation, Comedy, Drama",7.8,A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students.,"9,863"
38,Toradora!,(2008–2009),"Animation, Comedy, Drama",8,Toradora tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes.,"16,975"
39,N.H.K ni yôkoso!,(2006),"Animation, Comedy, Drama",8.3,This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.,"7,311"
40,"No Game, No Life",(2014),"Animation, Adventure, Comedy",7.7,"Siblings Sora and Shiro make up the most feared team of pro gamers in the world, The Blank. When they manage to beat God himself in a game of chess, they are sent to a world where all disputes are settled with games.","16,948"
41,GTO,(1999–2000),"Animation, Comedy, Drama",8.5,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.","10,009"
42,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,(2011),"Animation, Action, Adventure",8.2,"A creature named Kyubey offers Madoka and Sayaka a wish if they agree to become 'magical girls' and fight abstract beings called 'witches'. However, a magical girl named Homura is, for uncertain reasons, determined to stop this agreement.","10,386"
43,Higurashi no naku koro ni,(2006),"Animation, Drama, Horror",7.9,The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.,"6,069"
44,Kidô Senshi Gundam,(1979–1980),"Animation, Action, Adventure",7.9,"In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant humanoid robot, and its gifted teenage pilot.","2,544"
45,Gakkô no kaidan,(2000–2001),"Animation, Comedy, Fantasy",8,A group of school kids and a possessed cat fight ghosts in their neighborhood.,"2,344"
46,Initial D: First Stage,(1998),"Animation, Action, Comedy",8.4,The story of a young delivery boy who becomes a drift-racing legend.,"3,557"
47,Clannad: After Story,(2008–2009),"Animation, Comedy, Drama",8.6,A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                See full summary »,"11,736"
48,Tokyo Ghoul: Root A,(2015),"Animation, Action, Drama",7.6,"After being tortured and transformed, Kaneki leaves Anteku and joins Aogiri tree in order to protect his friends. While he tries to get stronger, Touka decides to enroll in college while they all try to recover from Kaneki leaving.","16,043"
49,Ano hi mita hana no namae o bokutachi wa mada shiranai.,(2011),"Animation, Adventure, Drama",8.2,"Five childhood companions reunite when the ghost of their dead friends appears, and demands they grant her final wish.","14,771"
50,Mononoke,(2007),"Animation, Fantasy, Horror",8.2,"A mysterious man called the Medicine Seller travels along feudal Japan, uncovering and slaying evil spirits called ""Mononoke"".","2,591"
51,Monogatari Series: Second Season,(2013),"Animation, Adventure, Comedy",8.6,"Walking to school one day Tsubasa Hanekawa encounters a huge white tiger apparition at a crossroads that talks to her. The next day her house burns down. Homeless, and not wanting to stay ...                See full summary »","2,732"
52,Yuri!!! On Ice,(2016),"Animation, Comedy, Drama",8.3,"After suffering defeat, Yuri Katsuki hangs up his ice skates for good. But will an encounter with two top skaters reignite his passion?","9,113"
53,Space Dandy,(2014),"Animation, Adventure, Comedy",8.1,"The cosmic and comic adventures of Space Dandy, a handsome space explorer tasked to tour the universe and discover new alien beings.","4,337"
54,Baccano!,(2007–2008),"Animation, Action, Adventure",8.2,"A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades.","12,213"
55,Yojôhan shinwa taikei,(2010),"Animation, Comedy, Drama",8.4,"When a nameless student at Kyoto University encounters a demigod one night, he asks to relive the past three years in order to win the heart of Ms. Akashi, the object of his affection.","4,545"
56,Nichijou,(2011),"Animation, Comedy",8.3,"A group of students lead normal lives and cope with normal predicaments, but all too often find themselves in abnormal situations.","3,191"
57,Sangatsu no Lion,(2016–2018),"Animation, Comedy, Drama",8.3,"A 17 year old socially awkward orphaned shogi player, dealing with adult problems like financial difficulties, loneliness, and depression.","3,058"
58,Durarara!!,(2010),"Animation, Action, Comedy",7.8,"Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is full of connected mysteries where people's pasts intertwine with the present.","7,537"
59,Mirai shônen Konan,(1978),"Animation, Adventure, Comedy",8.8,"Long after a devastating war almost destroyed the entire world, a boy with superhuman strength fights to save his friends from those who seek to conquer what is left of civilization.","4,579"
60,Kidô Senshi Gundam 00,(2007–2009),"Animation, Action, Drama",8.1,"In the distant future, mankind has used up all of its fossil fuels, forcing them to turn to Solar Power as an alternate energy source. As a result, this causes a rift to form between richer...                See full summary »","2,539"
61,Kidô senshi Z Gundam,(1985–1986),"Animation, Action, Drama",8.1,"Eight years after the One Year War, the Earth Federation creates an elite force called the Titans to hunt Zeon remnants. When Titans proves to be no better than Zeon, the Anti Earth Union Group (AEUG) is formed to restore peace in space.","1,401"
62,Angel Beats!,(2010),"Animation, Action, Comedy",7.6,Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school.,"15,248"
63,Gyakkyô burai Kaiji,(2007–2011),"Animation, Action, Thriller",8.2,"Kaiji Itou is a good-for-nothing loiterer who spends his days drinking beer and stealing hubcaps-that is, until he ends up being tricked by his former co-worker. Unable to suddenly repay ...                See full summary »","3,427"
64,Fushigi no umi no Nadia,(1990–2003),"Animation, Action, Adventure",7.8,A teen acrobat of mysterious origins and a young inventor find themselves entangled in a sinister plot that involves the fate of the world.,"1,914"
65,Little Witch Academia,(2017),"Animation, Comedy, Family",7.8,"Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success.","3,653"
66,Shin Sekai Yori,(2012–2013),"Animation, Action, Adventure",7.9,"In a post-apocalyptic world set a thousand years after our era, the remaining humans, now with telekinesis, live in a seemingly peaceful society, but dark secrets of the past will soon be discovered by a small group of friends.","3,420"
67,Gangureivu,(2003–2004),"Animation, Action, Crime",7.9,Gungrave follows the story of best friends Brandon Heat and Harry MacDowell as they join and rise in the ranks of Big Daddy's Millenion crime syndicate. The story begins in the future ...                See full summary »,"5,152"
68,Suzumiya Haruhi no yûutsu,(2006–2009),"Animation, Comedy, Fantasy",7.8,"The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi.","8,769"
69,Wolf's Rain,(2003–2004),"Animation, Action, Adventure",7.9,"In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.","7,994"
70,Basilisk: Kôga ninpô chô,(2005),"Animation, Action, Adventure",7.8,"The year is 1614 AD. Two warring ninja clans, each supporting a son of Hidetada Tokugawa as the next shogun, send ten representatives each to fight to the death for the possession Tokugawa ...                See full summary »","4,152"
71,Ping Pong the Animation,(2014),"Animation, Drama, Sport",8.6,Five ping pong prodigies learn to navigate the harsh climate of competitive sport and the even more frightening realm of self realization.,"4,243"
72,Barakamon,(2014),"Animation, Comedy, Drama",8.2,"A proud young calligrapher is punished for punching a critic by being sent to a faraway island in the east coast of Japan. But as he meets and lives with the island's friendly people, his attitude begins to improve.","3,851"
73,Ôkami to kôshinryô,(2008–2009),"Animation, Adventure, Drama",7.8,"Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo.","4,708"
74,Rainbow: Nishakubou no shichinin,(2010),"Animation, Crime, Drama",8.2,"Set in 1955, the anime follows the story of seven teenagers locked in a reformatory, waiting for a ray of light in a daily hell of suffering and humiliation, focusing especially on how they faced the life once regained freedom.","2,691"
75,Planetes,(2003–2004),"Animation, Drama, Sci-Fi",8.1,"Ai Tanabe joins the Debris Section of the Technora Corporation as they work to remove the debris left around Earth. As Ai tries to accommodate to space life, she learns more about her crew on the dilapidated 'Toy Box'.","3,764"
76,Mushishi Zoku Shou,(2014–2015),"Animation, Drama, Fantasy",8.8,"They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre ...                See full summary »","3,026"
77,Initial D: Fifth Stage,(2012–2013),"Animation, Action, Sport",8,"The final stage of Project D's expeditions is coming, and is to be the hardest yet.",787
78,Seirei no moribito,(2007),"Animation, Action, Adventure",8.2,The Second Empress hires a spear-wielding woman to save her son from the Mikado (emperor) who believes the young prince is possessed by a water demon foretold to bring a terrible drought upon the land should he live.,"2,825"
79,Sora yori mo Tooi Basho,(2018),"Animation, Adventure, Comedy",8.2,A group of high school girls join an expedition headed towards the Antarctic.,"2,488"
80,Kino no tabi,(2003),"Animation, Adventure, Drama",8.3,"Young world-weary sharpshooter girl Kino and her talking inquisitive motorcycle Hermes travel around her unusual world, visiting various city-states for three days each to learn about their culture, history and ruling philosophy.","3,046"
81,Owarimonogatari,(2015–2017),"Animation, Comedy, Fantasy",8.3,The end of the saga of Araragi Koyomi. What are they fighting against? What will happen to them? And who- or what- is the darkness?,"1,802"
